Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus
[248/3763] verussystems/ironkv-smt-marshal_v.28.smt2 -> UNSAT [0.24s]
[249/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.1.smt2 -> UNSAT [0.16s]
[250/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.50.smt2 -> UNKNOWN [1.38s]
[251/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.3.smt2 -> UNSAT [1.37s]
[252/3763] verussystems/ironkv-smt-host_impl_v.1.smt2 -> UNSAT [4.41s]
[253/3763] verussystems/ironkv-smt-marshal_v.21.smt2 -> UNKNOWN [1.43s]
[254/3763] verussystems/ironkv-smt-delegation_map_v.52.smt2 -> UNKNOWN [1.67s]
[255/3763] verussystems/noderep-smt-spec__utils.2.smt2 -> UNKNOWN [0.36s]
[256/3763] verussystems/noderep-smt-spec__utils.1.smt2 -> UNKNOWN [0.23s]
[257/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.10.smt2 -> UNKNOWN [11.96s]
[258/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.15.smt2 -> UNSAT [0.41s]
[259/3763] verussystems/ironkv-smt-host_protocol_t.21.smt2 -> UNSAT [1.30s]
[260/3763] verussystems/ironkv-smt-delegation_map_v.27.smt2 -> UNKNOWN [3.54s]
[261/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.9.smt2 -> UNSAT [0.50s]
[262/3763] verussystems/mimalloc-smt-pigeonhole.7.smt2 -> UNKNOWN [0.26s]
[263/3763] verussystems/ironkv-smt-marshal_v.30.smt2 -> UNKNOWN [4.83s]
[264/3763] verussystems/ironkv-smt-delegation_map_v.21.smt2 -> UNKNOWN [0.66s]
[265/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.22.smt2 -> UNKNOWN [1.00s]
[266/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.6.smt2 -> UNKNOWN [0.47s]
[267/3763] verussystems/ironkv-smt-seq_is_unique_v.8.smt2 -> UNKNOWN [0.30s]
[268/3763] verussystems/mimalloc-smt-pigeonhole.3.smt2 -> UNKNOWN [0.32s]
[269/3763] verussystems/noderep-smt-exec__context.3.smt2 -> UNSAT [0.21s]
[270/3763] verussystems/ironkv-smt-host_protocol_t.10.smt2 -> UNSAT [0.62s]
[271/3763] verussystems/ironkv-smt-marshal_v.25.smt2 -> UNSAT [0.24s]
[272/3763] verussystems/ironkv-smt-delegation_map_v.29.smt2 -> UNKNOWN [1.07s]
[273/3763] verussystems/mimalloc-smt-flags.9.smt2 -> UNKNOWN [0.21s]
[274/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.12.smt2 -> UNKNOWN [9.82s]
[275/3763] atmosphere/array_vec.7.smt2 -> UNKNOWN [20.09s]
[276/3763] verussystems/ironkv-smt-main_t.2.smt2 -> UNSAT [3.17s]
[277/3763] verussystems/ironkv-smt-marshal_v.50.smt2 -> UNKNOWN [0.66s]
[278/3763] verussystems/noderep-smt-exec__utils.1.smt2 -> UNKNOWN [0.24s]
[279/3763] verussystems/ironkv-smt-marshal_v.10.smt2 -> UNKNOWN [0.52s]
[280/3763] atmosphere/pagetable__pagemap.1.smt2 -> UNKNOWN [20.81s]
[281/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.28.smt2 -> UNSAT [0.35s]
[282/3763] verussystems/ironkv-smt-marshal_v.18.smt2 -> UNKNOWN [0.36s]
[283/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.3.smt2 -> UNSAT [0.27s]
[284/3763] verussystems/ironkv-smt-host_protocol_t.15.smt2 -> UNSAT [0.31s]
