Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[160/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.16.smt2 -> UNSAT [2.59s]
[161/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.2.smt2 -> UNSAT [2.14s]
[162/3763] atmosphere/array.1.smt2 -> UNKNOWN [11.31s]
[163/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.3.smt2 -> UNSAT [2.08s]
[164/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.4.smt2 -> UNKNOWN [3.53s]
[165/3763] verussystems/ironkv-smt-delegation_map_v.11.smt2 -> UNSAT [2.56s]
[166/3763] verussystems/ironkv-smt-single_delivery_t.15.smt2 -> UNKNOWN [2.28s]
[167/3763] atmosphere/pagetable__pagemap.2.smt2 -> UNKNOWN [11.47s]
[168/3763] verussystems/noderep-smt-exec__rwlock.6.smt2 -> UNSAT [3.48s]
[169/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.3.smt2 -> UNKNOWN [2.29s]
[170/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.19.smt2 -> UNSAT [3.22s]
[171/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.8.smt2 -> UNSAT [2.10s]
[172/3763] verussystems/ironkv-smt-marshal_v.9.smt2 -> UNKNOWN [2.83s]
[173/3763] verussystems/mimalloc-smt-flags.1.smt2 -> UNSAT [2.04s]
[174/3763] verussystems/ironkv-smt-host_protocol_t.3.smt2 -> UNSAT [3.74s]
[175/3763] verussystems/noderep-smt-spec__linearization.3.smt2 -> OTHER [2.02s]
[176/3763] verussystems/ironkv-smt-delegation_map_v.48.smt2 -> UNSAT [2.77s]
[177/3763] verussystems/ironkv-smt-marshal_v.22.smt2 -> UNKNOWN [4.52s]
[178/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.2.smt2 -> UNSAT [2.34s]
[179/3763] verussystems/ironkv-smt-delegation_map_v.31.smt2 -> UNKNOWN [3.96s]
[180/3763] verussystems/ironkv-smt-single_delivery_t.10.smt2 -> UNSAT [2.09s]
[181/3763] verussystems/ironkv-smt-marshal_v.26.smt2 -> UNSAT [2.05s]
[182/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.10.smt2 -> UNSAT [2.13s]
[183/3763] verussystems/ironkv-smt-delegation_map_v.34.smt2 -> UNSAT [2.67s]
[184/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.2.smt2 -> UNSAT [2.17s]
[185/3763] verussystems/ironkv-smt-delegation_map_v.8.smt2 -> UNSAT [2.34s]
[186/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.19.smt2 -> UNKNOWN [4.02s]
[187/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.13.smt2 -> UNKNOWN [2.38s]
[188/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.1.smt2 -> UNKNOWN [4.19s]
[189/3763] verussystems/ironkv-smt-marshal_v.12.smt2 -> UNKNOWN [2.44s]
[190/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.7.smt2 -> UNSAT [3.41s]
[191/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.1.smt2 -> UNSAT [1.94s]
[192/3763] verussystems/mimalloc-smt-types__BoolAgree.3.smt2 -> UNSAT [1.96s]
[193/3763] verussystems/ironkv-smt-keys_t.4.smt2 -> UNSAT [1.98s]
[194/3763] verussystems/ironkv-smt-marshal_v.4.smt2 -> UNKNOWN [2.15s]
[195/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.9.smt2 -> UNSAT [2.39s]
[196/3763] atmosphere/pagetable__pagemap.3.smt2 -> UNKNOWN [12.62s]
[197/3763] atmosphere/process_manager__container_tree_spec_impl.17.smt2 -> UNKNOWN [12.65s]
[198/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.21.smt2 -> UNSAT [4.23s]
[199/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.11.smt2 -> UNKNOWN [1.78s]
[200/3763] verussystems/ironkv-smt-marshal_v.15.smt2 -> UNSAT [1.95s]
[201/3763] verussystems/ironkv-smt-io_t.3.smt2 -> UNSAT [1.79s]
[202/3763] verussystems/ironkv-smt-cmessage_v.10.smt2 -> UNSAT [2.28s]
[203/3763] verussystems/ironkv-smt-marshal_v.51.smt2 -> UNKNOWN [2.56s]
[204/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.10.smt2 -> UNKNOWN [12.73s]
[205/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.8.smt2 -> UNKNOWN [6.96s]
[206/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.6.smt2 -> UNSAT [2.12s]
[207/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-log__layout_v.2.smt2 -> UNSAT [1.77s]
[208/3763] verussystems/ironkv-smt-seq_is_unique_v.5.smt2 -> UNKNOWN [2.66s]
[209/3763] verussystems/mimalloc-smt-flags.8.smt2 -> UNSAT [1.79s]
[210/3763] verussystems/ironkv-smt-marshal_v.43.smt2 -> UNSAT [1.88s]
[211/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.22.smt2 -> UNSAT [2.29s]
[212/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.9.smt2 -> UNSAT [2.37s]
[213/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.3.smt2 -> UNSAT [2.05s]
[214/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.11.smt2 -> UNSAT [6.29s]
[215/3763] verussystems/ironkv-smt-args_t.2.smt2 -> UNKNOWN [2.01s]
[216/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.5.smt2 -> UNSAT [3.30s]
[217/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.8.smt2 -> UNKNOWN [2.47s]
[218/3763] verussystems/noderep-smt-exec__rwlock.7.smt2 -> UNSAT [1.95s]
[219/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.4.smt2 -> UNKNOWN [2.06s]
[220/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.4.smt2 -> UNKNOWN [3.29s]
[221/3763] verussystems/ironkv-smt-marshal_v.3.smt2 -> UNSAT [2.04s]
[222/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.18.smt2 -> UNKNOWN [5.44s]
[223/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.44.smt2 -> UNSAT [2.29s]
[224/3763] verussystems/noderep-smt-exec__rwlock.3.smt2 -> UNSAT [3.28s]
[225/3763] verussystems/ironkv-smt-host_protocol_t.5.smt2 -> UNSAT [5.15s]
[226/3763] verussystems/ironkv-smt-marshal_v.6.smt2 -> UNKNOWN [2.29s]
[227/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.2.smt2 -> UNSAT [2.10s]
[228/3763] atmosphere/slinkedlist__spec_impl_u.5.smt2 -> UNKNOWN [13.80s]
[229/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.21.smt2 -> UNKNOWN [2.29s]
[230/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.3.smt2 -> UNSAT [2.45s]
[231/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.16.smt2 -> UNKNOWN [4.53s]
[232/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.27.smt2 -> UNSAT [2.95s]
[233/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.13.smt2 -> UNSAT [5.88s]
[234/3763] verussystems/noderep-smt-spec__unbounded_log.1.smt2 -> UNKNOWN [2.52s]
[235/3763] verussystems/noderep-smt-exec__rwlock.5.smt2 -> UNKNOWN [3.57s]
[236/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.8.smt2 -> UNKNOWN [4.66s]
[237/3763] verussystems/noderep-smt-spec__unbounded_log.8.smt2 -> UNKNOWN [8.11s]
[238/3763] verussystems/ironkv-smt-marshal_v.34.smt2 -> UNKNOWN [3.47s]
[239/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.1.smt2 -> UNKNOWN [3.51s]
[240/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.30.smt2 -> UNSAT [2.65s]
[241/3763] verussystems/ironkv-smt-cmessage_v.19.smt2 -> UNSAT [2.74s]
[242/3763] verussystems/ironkv-smt-marshal_v.37.smt2 -> UNKNOWN [4.25s]
[243/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.39.smt2 -> UNSAT [3.04s]
[244/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.1.smt2 -> UNSAT [2.76s]
[245/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.11.smt2 -> UNKNOWN [4.06s]
[246/3763] verussystems/ironkv-smt-delegation_map_v.27.smt2 -> UNSAT [3.22s]
[247/3763] verussystems/ironkv-smt-host_protocol_t.13.smt2 -> UNSAT [2.72s]
[248/3763] verussystems/ironkv-smt-marshal_v.28.smt2 -> UNSAT [2.71s]
[249/3763] verussystems/ironkv-smt-host_impl_v.1.smt2 -> UNSAT [4.30s]
[250/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.33.smt2 -> UNSAT [2.92s]
[251/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.18.smt2 -> UNKNOWN [8.61s]
[252/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.4.smt2 -> UNSAT [3.02s]
[253/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.1.smt2 -> UNSAT [2.73s]
[254/3763] verussystems/noderep-smt-spec__utils.2.smt2 -> UNKNOWN [2.75s]
[255/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.15.smt2 -> UNSAT [2.83s]
[256/3763] verussystems/noderep-smt-spec__utils.1.smt2 -> UNKNOWN [2.85s]
[257/3763] verussystems/ironkv-smt-host_impl_v.6.smt2 -> UNKNOWN [9.71s]
[258/3763] verussystems/mimalloc-smt-pigeonhole.7.smt2 -> UNKNOWN [2.77s]
[259/3763] verussystems/ironkv-smt-delegation_map_v.21.smt2 -> UNSAT [3.01s]
[260/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.3.smt2 -> UNSAT [3.62s]
[261/3763] verussystems/ironkv-smt-seq_is_unique_v.8.smt2 -> UNSAT [2.86s]
[262/3763] verussystems/ironkv-smt-host_protocol_t.26.smt2 -> UNKNOWN [6.54s]
[263/3763] verussystems/noderep-smt-exec__context.3.smt2 -> UNSAT [2.86s]
[264/3763] verussystems/ironkv-smt-marshal_v.25.smt2 -> UNSAT [2.76s]
[265/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.50.smt2 -> UNKNOWN [3.89s]
[266/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.9.smt2 -> UNSAT [3.29s]
[267/3763] verussystems/mimalloc-smt-pigeonhole.3.smt2 -> UNKNOWN [2.92s]
[268/3763] verussystems/mimalloc-smt-flags.9.smt2 -> UNKNOWN [2.79s]
[269/3763] verussystems/ironkv-smt-marshal_v.21.smt2 -> UNKNOWN [3.88s]
[270/3763] atmosphere/process_manager__container_tree_spec_impl.16.smt2 -> UNKNOWN [16.34s]
