Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[234/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.30.smt2 -> UNSAT [2.69s]
[235/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.8.smt2 -> UNKNOWN [4.93s]
[236/3763] verussystems/ironkv-smt-cmessage_v.19.smt2 -> UNSAT [2.71s]
[237/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.1.smt2 -> UNSAT [2.73s]
[238/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.27.smt2 -> UNSAT [3.47s]
[239/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.39.smt2 -> UNSAT [3.14s]
[240/3763] verussystems/ironkv-smt-marshal_v.37.smt2 -> UNKNOWN [4.47s]
[241/3763] verussystems/ironkv-smt-delegation_map_v.36.smt2 -> UNKNOWN [15.04s]
[242/3763] verussystems/noderep-smt-spec__unbounded_log.8.smt2 -> UNKNOWN [8.45s]
[243/3763] verussystems/ironkv-smt-host_protocol_t.13.smt2 -> UNSAT [2.62s]
[244/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.18.smt2 -> UNKNOWN [8.51s]
[245/3763] verussystems/ironkv-smt-marshal_v.28.smt2 -> UNSAT [2.63s]
[246/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.33.smt2 -> UNSAT [2.76s]
[247/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.4.smt2 -> UNSAT [2.94s]
[248/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.1.smt2 -> UNSAT [2.62s]
[249/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.16.smt2 -> UNKNOWN [5.75s]
[250/3763] verussystems/ironkv-smt-marshal_v.34.smt2 -> UNKNOWN [4.13s]
[251/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.14.smt2 -> UNKNOWN [3.50s]
[252/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.1.smt2 -> UNKNOWN [4.19s]
[253/3763] verussystems/noderep-smt-spec__unbounded_log.13.smt2 -> UNKNOWN [8.03s]
[254/3763] verussystems/noderep-smt-spec__utils.2.smt2 -> UNKNOWN [2.53s]
[255/3763] verussystems/noderep-smt-spec__utils.1.smt2 -> UNKNOWN [2.54s]
[256/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.15.smt2 -> UNSAT [2.59s]
[257/3763] atmosphere/process_manager__container_tree_spec_impl.17.smt2 -> UNKNOWN [15.83s]
[258/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.13.smt2 -> UNSAT [7.52s]
[259/3763] verussystems/ironkv-smt-delegation_map_v.21.smt2 -> UNSAT [2.76s]
[260/3763] verussystems/mimalloc-smt-pigeonhole.7.smt2 -> UNKNOWN [2.66s]
[261/3763] verussystems/ironkv-smt-seq_is_unique_v.8.smt2 -> UNSAT [2.51s]
[262/3763] verussystems/ironkv-smt-host_impl_v.1.smt2 -> UNSAT [5.27s]
[263/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.9.smt2 -> UNSAT [2.88s]
[264/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.6.smt2 -> UNKNOWN [2.81s]
[265/3763] verussystems/mimalloc-smt-pigeonhole.3.smt2 -> UNKNOWN [2.63s]
[266/3763] verussystems/noderep-smt-exec__context.3.smt2 -> UNSAT [2.60s]
[267/3763] verussystems/ironkv-smt-delegation_map_v.52.smt2 -> UNKNOWN [4.15s]
[268/3763] verussystems/ironkv-smt-marshal_v.25.smt2 -> UNSAT [2.56s]
[269/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.17.smt2 -> UNKNOWN [9.19s]
